"industry","country","gender","race","age","education","prof_exp","field_exp","usd_total_comp","age_mid","age_scale","prof_exp_mid","field_exp_mid","edu_num","edu_scale","wht_notwht","wom_notwom","usa","ind_dom"
"Transportion or Logistics","usa","Woman","Hispanic","25-34","College degree","10-","10-",66.5,30,"Young",5,5,3,"Medium","Not White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","25-34","Some college","10-","10-",61,30,"Young",5,5,2,"Low","White","Woman","USA","Not Woman"
"Social Work","usa","Woman","White","25-34","College degree","11-20","11-20",55,30,"Young",15,15,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","35-44","College degree","11-20","10-",59,40,"Middle",15,5,3,"Medium","White","Woman","USA","Not Woman"
"Social Work","usa","Woman","White","25-34","College degree","10-","10-",45.213,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Science","usa","Woman","White","35-44","Master's degree","11-20","11-20",81,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Health care","usa","Woman","White","35-44","Master's degree","11-20","11-20",71,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Social Work","usa","Woman","White","25-34","College degree","11-20","10-",78,30,"Young",15,5,3,"Medium","White","Woman","USA","Woman"
"Social Work","usa","Woman","White","35-44","College degree","10-","10-",44,40,"Middle",5,5,3,"Medium","White","Woman","USA","Woman"
"Engineering or Manufacturing","usa","Woman","White","25-34","College degree","11-20","10-",46.5,30,"Young",15,5,3,"Medium","White","Woman","USA","Not Woman"
"Education","usa","Man","White","55+","PhD","11-20","11-20",98,60,"Old",15,15,5,"High","White","Not Woman","USA","Woman"
"Science","uk","Woman","White","45-54","PhD","21-30","11-20",58.38,50,"Old",25,15,5,"High","White","Woman","Not USA","Woman"
"Education","usa","Woman","White","35-44","Master's degree","10-","10-",68,40,"Middle",5,5,4,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","Hispanic","35-44","Master's degree","11-20","11-20",155.4,40,"Middle",15,15,4,"High","Not White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","Asian ","35-44","College degree","21-30","10-",56,40,"Middle",25,5,3,"Medium","Not White","Woman","USA","Not Woman"
"Law","usa","Woman","White","25-34","Professional degree","10-","10-",155,30,"Young",5,5,6,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","35-44","Some college","11-20","10-",55,40,"Middle",15,5,2,"Low","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","25-34","Master's degree","10-","10-",52,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Health care","usa","Woman","White","35-44","College degree","11-20","11-20",95,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Government and Public Administration","usa","Woman","White","45-54","Master's degree","21-30","21-30",75,50,"Old",25,25,4,"High","White","Woman","USA","Woman"
"Accounting, Banking & Finance","usa","Woman","White","25-34","Master's degree","10-","10-",84,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Leisure, Sport & Tourism","usa","Woman","White","35-44","Some college","11-20","10-",88,40,"Middle",15,5,2,"Low","White","Woman","USA","Not Woman"
"Accounting, Banking & Finance","usa","Woman","White","25-34","College degree","10-","10-",37.2,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","25-34","Some college","10-","10-",60.9,30,"Young",5,5,2,"Low","White","Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Woman","White","25-34","College degree","11-20","10-",74.6,30,"Young",15,5,3,"Medium","White","Woman","USA","Woman"
"Health care","usa","Woman","White","45-54","Some college","31+","10-",51,50,"Old",35,5,2,"Low","White","Woman","USA","Woman"
"Science","usa","Woman","White","25-34","Master's degree","10-","10-",49,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","PhD","10-","10-",103,40,"Middle",5,5,5,"High","White","Woman","USA","Woman"
"Recruitment or HR","usa","Woman","White","25-34","Master's degree","10-","10-",80,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Engineering or Manufacturing","usa","Woman","White","25-34","College degree","11-20","11-20",75,30,"Young",15,15,3,"Medium","White","Woman","USA","Not Woman"
"Engineering or Manufacturing","usa","Man","White","35-44","Master's degree","10-","10-",108.68,40,"Middle",5,5,4,"High","White","Not Woman","USA","Not Woman"
"Computing or Tech","uk","Man","White","25-34","College degree","11-20","11-20",100.775,30,"Young",15,15,3,"Medium","White","Not Woman","Not USA","Not Woman"
"Computing or Tech","usa","Woman","White","35-44","Master's degree","11-20","11-20",118,40,"Middle",15,15,4,"High","White","Woman","USA","Not Woman"
"Health care","usa","Woman","White","35-44","Master's degree","11-20","10-",106.206,40,"Middle",15,5,4,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Man","White","25-34","Some college","11-20","11-20",141,30,"Young",15,15,2,"Low","White","Not Woman","USA","Not Woman"
"Art & Design","usa","Woman","White","35-44","College degree","11-20","10-",68.5,40,"Middle",15,5,3,"Medium","White","Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Woman","White","25-34","Master's degree","10-","10-",102,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Science","usa","Woman","White","25-34","Master's degree","11-20","10-",69.069,30,"Young",15,5,4,"High","White","Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Man","White","25-34","College degree","10-","10-",87,30,"Young",5,5,3,"Medium","White","Not Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","College degree","11-20","11-20",147,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Accounting, Banking & Finance","usa","Woman","Asian ","24-","College degree","10-","10-",95,20,"Young",5,5,3,"Medium","Not White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","35-44","College degree","21-30","11-20",68,40,"Middle",25,15,3,"Medium","White","Woman","USA","Not Woman"
"Marketing, Advertising & PR","usa","Woman","Other","25-34","College degree","11-20","10-",82,30,"Young",15,5,3,"Medium","Not White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","35-44","College degree","10-","10-",76.5,40,"Middle",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Science","usa","Woman","White","35-44","PhD","10-","10-",90,40,"Middle",5,5,5,"High","White","Woman","USA","Woman"
"Recruitment or HR","usa","Woman","White","25-34","Master's degree","10-","10-",93.5,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Recruitment or HR","usa","Woman","White","35-44","College degree","11-20","11-20",73,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","canada","Woman","White","25-34","College degree","10-","10-",56,30,"Young",5,5,3,"Medium","White","Woman","Not USA","Not Woman"
"Education","usa","Woman","Other","35-44","PhD","11-20","11-20",68,40,"Middle",15,15,5,"High","Not White","Woman","USA","Woman"
"Computing or Tech","usa","Other","White","25-34","College degree","10-","10-",55,30,"Young",5,5,3,"Medium","White","Not Woman","USA","Not Woman"
"Sales","usa","Woman","White","35-44","College degree","11-20","10-",73.2,40,"Middle",15,5,3,"Medium","White","Woman","USA","Not Woman"
"Marketing, Advertising & PR","usa","Woman","White","35-44","College degree","11-20","10-",84,40,"Middle",15,5,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","35-44","Master's degree","11-20","10-",145,40,"Middle",15,5,4,"High","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","35-44","College degree","11-20","10-",41.8,40,"Middle",15,5,3,"Medium","White","Woman","USA","Not Woman"
"Accounting, Banking & Finance","usa","Woman","White","25-34","Master's degree","10-","10-",126.15,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","Hispanic","35-44","College degree","11-20","10-",56,40,"Middle",15,5,3,"Medium","Not White","Woman","USA","Woman"
"Computing or Tech","canada","Woman","White","35-44","Some college","11-20","11-20",73.44,40,"Middle",15,15,2,"Low","White","Woman","Not USA","Not Woman"
"Social Work","usa","Woman","White","35-44","Master's degree","11-20","11-20",80,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Health care","usa","Woman","White","35-44","Master's degree","11-20","11-20",85.4,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Social Work","usa","Woman","White","35-44","College degree","11-20","11-20",65.16,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Leisure, Sport & Tourism","usa","Woman","White","25-34","College degree","10-","10-",68,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Social Work","usa","Woman","White","35-44","Master's degree","11-20","11-20",61,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","College degree","11-20","10-",71.2,40,"Middle",15,5,3,"Medium","White","Woman","USA","Woman"
"Social Work","usa","Woman","White","35-44","Master's degree","11-20","11-20",72,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","Master's degree","11-20","10-",107,40,"Middle",15,5,4,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","10-","10-",105,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Computing or Tech","uk","Other","White","35-44","College degree","11-20","11-20",91.74,40,"Middle",15,15,3,"Medium","White","Not Woman","Not USA","Not Woman"
"Science","usa","Woman","White","25-34","Master's degree","10-","10-",94,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","35-44","Master's degree","11-20","11-20",180.25,40,"Middle",15,15,4,"High","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","35-44","College degree","11-20","11-20",135,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","10-","10-",95,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","35-44","Master's degree","11-20","10-",31,40,"Middle",15,5,4,"High","White","Woman","USA","Not Woman"
"Engineering or Manufacturing","usa","Other","White","45-54","College degree","11-20","10-",76.688,50,"Old",15,5,3,"Medium","White","Not Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","25-34","College degree","10-","10-",64,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Entertainment","spain","Other","Other","45-54","College degree","21-30","11-20",665.52,50,"Old",25,15,3,"Medium","Not White","Not Woman","Not USA","Not Woman"
"Social Work","usa","Woman","White","25-34","College degree","10-","10-",51.429,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Art & Design","usa","Woman","White","35-44","Master's degree","11-20","11-20",350.913,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Engineering or Manufacturing","usa","Other","White","24-","Master's degree","10-","10-",41.6,20,"Young",5,5,4,"High","White","Not Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","35-44","College degree","11-20","11-20",219,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Accounting, Banking & Finance","usa","Woman","White","35-44","High School","11-20","11-20",45,40,"Middle",15,15,1,"Low","White","Woman","USA","Woman"
"Health care","usa","Woman","White","45-54","Master's degree","11-20","10-",108.57,50,"Old",15,5,4,"High","White","Woman","USA","Woman"
"Engineering or Manufacturing","usa","Woman","White","35-44","College degree","11-20","10-",69.6,40,"Middle",15,5,3,"Medium","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Man","White","25-34","College degree","10-","10-",45.15,30,"Young",5,5,3,"Medium","White","Not Woman","USA","Not Woman"
"Marketing, Advertising & PR","usa","Woman","White","35-44","Master's degree","11-20","11-20",323,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Business or Consulting","usa","Other","White","35-44","Master's degree","11-20","11-20",160,40,"Middle",15,15,4,"High","White","Not Woman","USA","Woman"
"Business or Consulting","usa","Other","White","35-44","Master's degree","11-20","11-20",160,40,"Middle",15,15,4,"High","White","Not Woman","USA","Woman"
"Health care","usa","Woman","White","25-34","College degree","10-","10-",75,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","College degree","11-20","11-20",110,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Education","usa","Woman","White","45-54","Master's degree","10-","10-",80,50,"Old",5,5,4,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","10-","10-",100,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","35-44","Master's degree","11-20","10-",63,40,"Middle",15,5,4,"High","White","Woman","USA","Woman"
"Law","usa","Woman","White","25-34","College degree","11-20","10-",105,30,"Young",15,5,3,"Medium","White","Woman","USA","Woman"
"Media & Digital","usa","Woman","White","25-34","College degree","10-","10-",41,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","35-44","Master's degree","11-20","11-20",132.8,40,"Middle",15,15,4,"High","White","Woman","USA","Not Woman"
"Marketing, Advertising & PR","usa","Woman","White","45-54","College degree","21-30","10-",112,50,"Old",25,5,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","Asian ","35-44","Some college","11-20","10-",24,40,"Middle",15,5,2,"Low","Not White","Woman","USA","Not Woman"
"Social Work","usa","Woman","White","35-44","College degree","11-20","11-20",360.775,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Woman","White","35-44","Master's degree","11-20","11-20",61.2,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","College degree","11-20","11-20",97,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Engineering or Manufacturing","usa","Woman","White","35-44","College degree","11-20","10-",60.5,40,"Middle",15,5,3,"Medium","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","35-44","College degree","11-20","11-20",137,40,"Middle",15,15,3,"Medium","White","Woman","USA","Not Woman"
"Science","usa","Woman","White","25-34","Master's degree","10-","10-",54,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","35-44","Some college","11-20","11-20",90,40,"Middle",15,15,2,"Low","White","Woman","USA","Not Woman"
"Art & Design","usa","Woman","Hispanic","25-34","College degree","10-","10-",50.8,30,"Young",5,5,3,"Medium","Not White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","10-","10-",115,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","25-34","Some college","10-","10-",81.4,30,"Young",5,5,2,"Low","White","Woman","USA","Woman"
"Health care","usa","Woman","Black","35-44","Master's degree","11-20","10-",115,40,"Middle",15,5,4,"High","Not White","Woman","USA","Woman"
"Art & Design","usa","Woman","White","25-34","Master's degree","10-","10-",50,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","35-44","College degree","11-20","10-",188,40,"Middle",15,5,3,"Medium","White","Woman","USA","Not Woman"
"Education","usa","Woman","White","25-34","PhD","10-","10-",52,30,"Young",5,5,5,"High","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","45-54","Some college","21-30","10-",75.5,50,"Old",25,5,2,"Low","White","Woman","USA","Woman"
"Health care","usa","Woman","White","35-44","Master's degree","11-20","10-",105,40,"Middle",15,5,4,"High","White","Woman","USA","Woman"
"Health care","usa","Woman","White","25-34","Professional degree","11-20","10-",136.235,30,"Young",15,5,6,"High","White","Woman","USA","Woman"
"Law","usa","Woman","White","25-34","College degree","10-","10-",58.2,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","Black","35-44","College degree","11-20","11-20",59,40,"Middle",15,15,3,"Medium","Not White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","35-44","Master's degree","11-20","11-20",235,40,"Middle",15,15,4,"High","White","Woman","USA","Not Woman"
"Engineering or Manufacturing","usa","Woman","White","25-34","College degree","11-20","10-",38,30,"Young",15,5,3,"Medium","White","Woman","USA","Not Woman"
"Libraries and Museums","usa","Woman","White","45-54","Master's degree","11-20","11-20",61,50,"Old",15,15,4,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Other","White","25-34","College degree","10-","10-",36.28,30,"Young",5,5,3,"Medium","White","Not Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","Asian ","35-44","College degree","11-20","11-20",190,40,"Middle",15,15,3,"Medium","Not White","Woman","USA","Not Woman"
"Social Work","belgium","Woman","White","35-44","Master's degree","21-30","11-20",96,40,"Middle",25,15,4,"High","White","Woman","Not USA","Woman"
"Computing or Tech","usa","Woman","White","35-44","College degree","11-20","11-20",83,40,"Middle",15,15,3,"Medium","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","35-44","College degree","11-20","10-",145,40,"Middle",15,5,3,"Medium","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","35-44","College degree","10-","10-",44,40,"Middle",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Accounting, Banking & Finance","usa","Woman","White","35-44","College degree","21-30","11-20",110,40,"Middle",25,15,3,"Medium","White","Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Woman","White","35-44","College degree","11-20","11-20",56.298,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","10-","10-",160,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","55+","Master's degree","31+","31+",109.642,60,"Old",35,35,4,"High","White","Woman","USA","Woman"
"Social Work","usa","Woman","White","25-34","College degree","10-","10-",48.5,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Accounting, Banking & Finance","canada","Woman","White","25-34","College degree","10-","10-",92,30,"Young",5,5,3,"Medium","White","Woman","Not USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","College degree","11-20","10-",60,40,"Middle",15,5,3,"Medium","White","Woman","USA","Woman"
"Government and Public Administration","usa","Woman","White","35-44","Master's degree","11-20","10-",93.4,40,"Middle",15,5,4,"High","White","Woman","USA","Woman"
"Engineering or Manufacturing","usa","Woman","Hispanic","35-44","Master's degree","11-20","11-20",109,40,"Middle",15,15,4,"High","Not White","Woman","USA","Not Woman"
"Art & Design","usa","Woman","White","25-34","College degree","10-","10-",80.6,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Health care","usa","Woman","White","25-34","Professional degree","10-","10-",120,30,"Young",5,5,6,"High","White","Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Woman","Hispanic","35-44","College degree","10-","10-",130,40,"Middle",5,5,3,"Medium","Not White","Woman","USA","Woman"
"Health care","usa","Woman","White","25-34","College degree","10-","10-",72,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Engineering or Manufacturing","usa","Woman","White","25-34","College degree","10-","10-",118,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Engineering or Manufacturing","usa","Woman","White","35-44","Master's degree","11-20","11-20",104,40,"Middle",15,15,4,"High","White","Woman","USA","Not Woman"
"Accounting, Banking & Finance","usa","Woman","Other","35-44","Master's degree","11-20","10-",85,40,"Middle",15,5,4,"High","Not White","Woman","USA","Woman"
"Health care","usa","Woman","White","35-44","College degree","21-30","10-",67.6,40,"Middle",25,5,3,"Medium","White","Woman","USA","Woman"
"Accounting, Banking & Finance","usa","Woman","Asian ","35-44","College degree","11-20","11-20",70.2,40,"Middle",15,15,3,"Medium","Not White","Woman","USA","Woman"
"Libraries and Museums","usa","Woman","White","25-34","Master's degree","10-","10-",75,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","Black","25-34","College degree","10-","10-",101.97,30,"Young",5,5,3,"Medium","Not White","Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Woman","White","25-34","College degree","11-20","11-20",58.5,30,"Young",15,15,3,"Medium","White","Woman","USA","Woman"
"Engineering or Manufacturing","usa","Woman","White","35-44","College degree","11-20","11-20",57.5,40,"Middle",15,15,3,"Medium","White","Woman","USA","Not Woman"
"Sales","usa","Woman","White","25-34","College degree","10-","10-",78,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","35-44","Master's degree","21-30","10-",62.925,40,"Middle",25,5,4,"High","White","Woman","USA","Not Woman"
"Health care","usa","Woman","White","25-34","Master's degree","10-","10-",85,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","25-34","Master's degree","10-","10-",67,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Health care","usa","Woman","White","45-54","College degree","11-20","10-",62.45,50,"Old",15,5,3,"Medium","White","Woman","USA","Woman"
"Education","usa","Woman","White","35-44","PhD","11-20","11-20",101,40,"Middle",15,15,5,"High","White","Woman","USA","Woman"
"Science","usa","Woman","Other","35-44","College degree","11-20","11-20",73.2,40,"Middle",15,15,3,"Medium","Not White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","Black","25-34","College degree","10-","10-",101.97,30,"Young",5,5,3,"Medium","Not White","Woman","USA","Woman"
"Education","usa","Woman","White","35-44","Master's degree","11-20","10-",64,40,"Middle",15,5,4,"High","White","Woman","USA","Woman"
"Accounting, Banking & Finance","usa","Woman","White","25-34","Master's degree","10-","10-",100.5,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","Professional degree","11-20","10-",255,40,"Middle",15,5,6,"High","White","Woman","USA","Woman"
"Social Work","usa","Woman","White","35-44","Master's degree","11-20","11-20",87.593,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Computing or Tech","australia","Woman","White","35-44","College degree","11-20","10-",74,40,"Middle",15,5,3,"Medium","White","Woman","Not USA","Not Woman"
"Health care","usa","Woman","Other","35-44","Professional degree","10-","10-",255,40,"Middle",5,5,6,"High","Not White","Woman","USA","Woman"
"Social Work","usa","Other","Hispanic","45-54","College degree","10-","10-",68,50,"Old",5,5,3,"Medium","Not White","Not Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","35-44","College degree","11-20","10-",55,40,"Middle",15,5,3,"Medium","White","Woman","USA","Not Woman"
"Engineering or Manufacturing","usa","Woman","White","25-34","College degree","10-","10-",69,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Accounting, Banking & Finance","usa","Woman","White","25-34","College degree","11-20","11-20",116.5,30,"Young",15,15,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","usa","Man","White","35-44","Some college","21-30","11-20",77,40,"Middle",25,15,2,"Low","White","Not Woman","USA","Woman"
"Computing or Tech","usa","Woman","Black","35-44","Master's degree","21-30","10-",69.5,40,"Middle",25,5,4,"High","Not White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","35-44","College degree","21-30","11-20",132.5,40,"Middle",25,15,3,"Medium","White","Woman","USA","Not Woman"
"Social Work","usa","Woman","White","35-44","Master's degree","11-20","11-20",82,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Government and Public Administration","usa","Woman","White","35-44","Professional degree","11-20","11-20",230,40,"Middle",15,15,6,"High","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","Master's degree","11-20","11-20",186.854,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Social Work","usa","Woman","White","35-44","Master's degree","11-20","11-20",75,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Business or Consulting","uk","Other","Other","45-54","Master's degree","21-30","21-30",251.59,50,"Old",25,25,4,"High","Not White","Not Woman","Not USA","Woman"
"Engineering or Manufacturing","usa","Woman","Asian ","25-34","Master's degree","10-","10-",154.9,30,"Young",5,5,4,"High","Not White","Woman","USA","Not Woman"
"Accounting, Banking & Finance","usa","Woman","White","35-44","Master's degree","11-20","11-20",60,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Law","usa","Woman","White","25-34","College degree","10-","10-",106,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Social Work","usa","Woman","White","25-34","Master's degree","10-","10-",42,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","45-54","Master's degree","21-30","21-30",54.5,50,"Old",25,25,4,"High","White","Woman","USA","Not Woman"
"Health care","usa","Woman","White","25-34","College degree","10-","10-",54,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Health care","usa","Woman","White","35-44","Professional degree","11-20","11-20",115,40,"Middle",15,15,6,"High","White","Woman","USA","Woman"
"Health care","usa","Woman","White","55+","Professional degree","21-30","21-30",150,60,"Old",25,25,6,"High","White","Woman","USA","Woman"
"Government and Public Administration","usa","Woman","Asian ","35-44","Some college","10-","10-",38,40,"Middle",5,5,2,"Low","Not White","Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Other","Other","25-34","College degree","10-","10-",55,30,"Young",5,5,3,"Medium","Not White","Not Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Woman","White","35-44","College degree","11-20","11-20",156,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Social Work","usa","Woman","White","25-34","High School","11-20","10-",22,30,"Young",15,5,1,"Low","White","Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Woman","White","35-44","College degree","11-20","11-20",156,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Art & Design","usa","Woman","White","25-34","College degree","10-","10-",87,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","45-54","College degree","21-30","21-30",80.5,50,"Old",25,25,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","Master's degree","11-20","11-20",115,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Animal Welfare","usa","Woman","White","25-34","College degree","11-20","11-20",41.5,30,"Young",15,15,3,"Medium","White","Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Woman","White","25-34","Master's degree","10-","10-",100,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Health care","usa","Woman","White","45-54","College degree","21-30","21-30",120,50,"Old",25,25,3,"Medium","White","Woman","USA","Woman"
"Science","usa","Woman","White","35-44","Master's degree","11-20","10-",58.5,40,"Middle",15,5,4,"High","White","Woman","USA","Woman"
"Leisure, Sport & Tourism","usa","Woman","White","25-34","College degree","11-20","10-",113,30,"Young",15,5,3,"Medium","White","Woman","USA","Not Woman"
"Health care","usa","Woman","White","35-44","Master's degree","10-","10-",93,40,"Middle",5,5,4,"High","White","Woman","USA","Woman"
"Art & Design","usa","Woman","White","25-34","Master's degree","10-","10-",82.5,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Libraries and Museums","usa","Woman","White","25-34","Master's degree","10-","10-",90,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Sales","usa","Woman","White","25-34","College degree","10-","31+",120,30,"Young",5,35,3,"Medium","White","Woman","USA","Not Woman"
"Health care","usa","Woman","Hispanic","35-44","College degree","11-20","11-20",71.136,40,"Middle",15,15,3,"Medium","Not White","Woman","USA","Woman"
"Engineering or Manufacturing","usa","Woman","Asian ","35-44","PhD","11-20","11-20",236,40,"Middle",15,15,5,"High","Not White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","25-34","Master's degree","10-","10-",70.75,30,"Young",5,5,4,"High","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","11-20","11-20",240,30,"Young",15,15,3,"Medium","White","Woman","USA","Not Woman"
"Health care","usa","Woman","White","25-34","Master's degree","10-","10-",98,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","Master's degree","11-20","11-20",106,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
